bangla_token,ipa_token
কড়ই,kɔɽi
কড়ইগাছে,kɔɽo͡i̯gacʰe
কড়ইয়া,kɔɽiʲa
কড়া,kɔɽa
কড়াইতে,kɔɽa͡i̯t̪e
কড়াইল,kɔɽa͡i̯l
কড়াকড়ি,kɔɽakoɽi
কড়াকড়িকে,kɔɽakoɽike
কড়াকড়ির,kɔɽakoɽir
কড়াপুর,kɔɽapur
কড়াল,kɔɽal
কড়িকান্দি-বাঞ্ছারামপুর-জীবনগঞ্জ,koɽikand̪i-bancʰarampuro-ɟibɔngɔnɟ
কড়িকান্দিতে,koɽikand̪it̪e
কড়িডোর,koɽidor
কয়,kɔʲ
কয়ক,kɔʲok
কয়ছর,kɔʲcʰɔr
কয়জনে,kɔʲoɟɔne
কয়টি,kɔʲti
কয়টিতে,kɔʲtit̪e
কয়দিন,kɔʲd̪in
কয়ভাবে,kɔʲbʱabe
কয়রা,kɔʲra
কয়লা,kɔʲla
কয়লাখনি,kɔʲlakʰoni
কয়লাঘাটে,kɔʲlagʱate
কয়লাভিত্তিক,kɔʲlabʱit̪t̪ik
কয়লার,kɔʲlar
কয়েক,kɔʲek
কয়েকগুণ,kɔʲekgun
কয়েকজন,kɔʲekɟɔn
কয়েকজনকে,kɔʲekɟɔnke
কয়েকজনের,kɔʲekɟɔner
কয়েকটা,kɔʲekta
কয়েকটি,kɔʲekti
কয়েকটিতে,kɔʲektit̪e
কয়েকডজন,kɔʲekdɟɔn
কয়েকদিন,kɔʲekd̪in
কয়েকদিনে,kɔʲekd̪ine
কয়েকদিনের,kɔʲekd̪iner
কয়েকবার,kɔʲekbar
কয়েকযুগ,kɔʲekɟug
কয়েকশ,kɔʲekʃo
কয়েছ,kɔʲecʰo
কয়েজন,kɔʲeɟon
কয়েদি,kɔʲed̪i
কয়েদির,kɔʲed̪ir
কয়েদিরা,kɔʲed̪ira
কয়েদী,kɔʲed̪i
কয়েল,kɔʲel
কয়ড়া,kɔʲɽa
ক৭৪,k74
ক’,k’
ক’জন,kɔ’ɟon
ক’জনই,kɔ’ɟoni
ক’টি,ko’ti
ক’দিন,ko’d̪in
ক’দিনের,ko’d̪iner
খ,kʰ
খ),kʰ)
খ-বিভাগ,kʰo-bibʱag
খইমুদ্দিনের,kʰimud̪d̪iner
খওয়া,kʰɔ͡o̯ʷa
খচখচানি,kʰɔckʰcani
খচিত,kʰocit̪
খছরু,kʰɔcʰoru
খটখটির,kʰɔtkʰtir
খটমটে,kʰɔtɔmte
খণ্ড,kʰɔndo
খণ্ডকালীন,kʰɔndokalin
খণ্ডটি,kʰɔndoti
খণ্ডে,kʰɔnde
খত,kʰɔt̪o
খতম,kʰɔt̪om
খতমের,kʰɔt̪omer
খতিব,kʰot̪ib
খতিয়ান,kʰot̪iʲan
খতিয়ানভুক্ত,kʰot̪iʲanbʱukt̪o
খতিয়ানে,kʰot̪iʲane
খতিয়ানের,kʰot̪iʲaner
খতিয়ে,kʰot̪iʲe
খতে,kʰɔt̪e
খদ্দের,kʰɔd̪d̪er
খদ্দেরসহ,kʰɔd̪d̪erʃɔho
খধংি,kʰod̪ʱŋi
খনজনপুর,kʰɔnɟɔnpur
খনন,kʰɔnon
খননের,kʰɔnoner
খনি,kʰoni
খনিজ,kʰoniɟ
খনিজসম্পদ,kʰoniɟʃɔmpɔd̪
খনিজের,kʰoniɟer
খনিটি,kʰoniti
খনিতে,kʰonit̪e
খনির,kʰonir
খন্দকার,kʰɔnd̪okar
খন্দকারকে,kʰɔnd̪okarke
খন্দকারের,kʰɔnd̪okarer
খপ্পর,kʰɔppor
খপ্পরে,kʰɔppɔre
খপ্পড়ে,kʰɔppoɽe
খবচ,kʰɔboco
খবর,kʰɔbor
খবর),kʰɔbor)
খবর-কলাপাড়া,kʰɔbor-kɔlapaɽa
খবর-কুমিল্লা,kʰɔbor-kumilla
খবর-কুড়িগ্রাম,kʰɔbor-kuɽigram
খবর-গজারিয়া,kʰɔbor-gɟariʲa
খবর-গোয়ালন্দ,kʰɔbor-goʷalɔnd̪o
খবর-চাঁদপুর,kʰɔbor-cãd̪pur
খবর-জয়পুরহাট,kʰɔbor-ɟɔʲpurhat
খবর-ধামরাই,kʰɔbor-d̪ʱamɔra͡i̯
খবর-নোয়াখালী,kʰɔbor-noʷakʰali
খবর-নড়াইল,kʰɔboro-nɽa͡i̯l
খবর-পটুয়াখালী,kʰɔbor-ptu͡a̯ʷkʰali
খবর-ফেনী,kʰɔbor-pʰeni
খবর-বান্দরবান,kʰɔbor-band̪orban
খবর-বুড়িচং,kʰɔbor-buɽicɔŋ
খবর-ব্রাহ্মণবাড়িয়া,kʰɔbor-brammonbaɽiʲa
খবর-মাধবপুর,kʰɔbor-mad̪ʱɔbopur
খবর-মানিকগঞ্জ,kʰɔbor-manikgɔkɟ
খবর-যশোর,kʰobor-ɟoʃor
খবর-রাঙ্গুনিয়া,kʰɔbor-raŋguniʲa
খবর-রাজশাহী,kʰɔbor-raɟʃahi
খবর-শিবগঞ্জ,kʰɔboro-ʃibɔgɔnɟ
খবর-শেরপুর,kʰɔbo͡i̯-ʃerpur
খবর-সাঁথিয়া,kʰɔbor-ʃãt̪iʲa
খবর-সাভার,kʰɔbor-ʃabʱar
খবর-হবিগঞ্জ,kʰɔboro-hobigɔnɟ
খবর:,kʰɔbor:
খবর।,kʰɔbor।
খবরই,kʰɔbori
খবরও,kʰɔboro
খবরকে,kʰɔborke
খবরটা,kʰɔborta
খবরটার,kʰɔbortar
খবরটি,kʰɔborti
খবরদারি,kʰɔbord̪ari
খবরদারির,kʰɔbord̪arir
খবরা,kʰɔbora
খবরে,kʰɔbore
খবরে-আমতলী,kʰɔbore-smɔt̪ɔli
খবরে-ধামরাই,kʰɔbore-d̪ʱamɔra͡i̯
খবরে-নান্দাইল,kʰɔbore-nand̪a͡i̯l
খবরের,kʰɔborer
খবির,kʰobir
খরখরে,kʰɔrkʰore
খরচ,kʰɔroc
খরচই,kʰɔroci
খরচও,kʰɔroco͡o̯
খরচকারী,kʰɔrockari
খরচসহ,kʰɔrocoʃɔho
খরচে,kʰɔrce
খরচের,kʰɔrocer
খরতাপ,kʰɔrot̪ap
খরব,kʰorbo
খরমপুর,kʰɔrompur
খরস্রোতা,kʰɔrosrot̪a
খরা,kʰɔra
খরাইল,kʰɔra͡i̯lo
খরাও,kʰɔra͡o̯
খরার,kʰɔrar
খরিদকৃত,kʰorid̪krit̪o
খরিদ্দাররা,kʰorid̪d̪arora
খরিয়াটারী,kʰoriʲatari
খরুচে,kʰoruce
খর্ব,kʰɔrbo
খর্বশক্তির,kʰɔrboʃokt̪ir
খর্বাকৃতির,kʰɔrbakrit̪ir
খল,kʰɔl
খলচরিত্রে,kʰɔlcorit̪re
খলনায়ক,kʰɔlonaʲok
খলশা,kʰɔlʃa
খলশী,kʰɔlʃi
খলা,kʰɔla
খলাছড়া,kʰɔlacʰɔɽa
খলাপাড়া,kʰɔlapaɽa
খলিফা,kʰolipʰa
খলিফাকে,kʰolipʰake
খলিফার,kʰolipʰar
খলিল,kʰolil
খলিলকে,kʰolilke
খলিলুর,kʰolilur
খলিলুরের,kʰolilurer
খলিলের,kʰoliler
খলিশাকোঠাল,kʰoliʃakotʰal
খলেদা,kʰɔled̪a
খশির,kʰoʃir
খসরু,kʰɔʃru
খসলেই,kʰɔʃole͡i̯
খসে,kʰɔʃe
খসড়া,kʰɔʃɽa
খসড়া-এর,kʰɔʃɽa-er
খসড়াও,kʰɔʃɽa͡o̯
খসড়াটি,kʰɔʃɽati
খসড়ার,kʰɔʃɽar
খসড়ায়,kʰɔʃɽaʲ
খাঁ,kʰã
খাঁকে,kʰãke
খাঁচা,kʰãca
খাঁচার,kʰãcar
খাঁচায়,kʰãcaʲ
খাঁজযুক্ত,kʰãɟɟukt̪o
খাঁটি,kʰãti
খাঁর,kʰãr
খাঁড়ার,kʰãɽar
খাঁয়ের,kʰãʲer
খাই,kʰa͡i̯
খাইতাছি,kʰa͡i̯t̪acʰi
খাইনি,kʰa͡i̯ni
খাইরুল,kʰa͡i̯rul
খাইয়ে,kʰa͡i̯ʲe
খাইয়েছেন,kʰa͡i̯ʲecʰen
খাঈদ,kʰa͡i̯d̪
খাউলিয়া,kʰa͡u̯liʲa
খাওয়নোর,kʰa͡o̯ʲonor
খাওয়া,kʰa͡o̯ʷa
খাওয়া-দাওয়া,kʰa͡o̯ʷa-d̪a͡o̯ʷa
খাওয়াকে,kʰa͡o̯ʷake
খাওয়াতে,kʰa͡o̯ʷat̪e
খাওয়ান,kʰa͡o̯ʷan
খাওয়ানো,kʰa͡o̯ʷano
খাওয়ানোর,kʰa͡o̯ʷanor
খাওয়ার,kʰa͡o̯ʷar
খাওয়ায়,kʰa͡o̯ʷaʲ
খাকচাপাড়া,kʰakcapaɽa
খাকান,kʰakan
খাগুটিয়া,kʰagutiʲa
খাগড়াগড়,kʰagɽagoɽ
খাগড়াছড়ি,kʰagɽacʰoɽi
খাগড়াছড়ি-চট্টগ্রাম,kʰagɽacʰoɽi-cɔttogram
খাগড়াছড়ি-ফটিকছড়ি,kʰagɽacʰoɽi-pʰtikcʰoɽi
খাগড়াছড়িতে,kʰagɽacʰoɽit̪e
খাগড়াছড়ির,kʰagɽacʰoɽir
খাগড়াপোলে,kʰagɽapole
খাচ্ছি,kʰaccʰi
খাচ্ছিল,kʰaccʰilo
খাচ্ছে,kʰaccʰe
খাচ্ছেন,kʰaccʰen
খাজনা,kʰaɟna
খাজা,kʰaɟa
খাজাকে,kʰaɟake
খাজুরতলা,kʰaɟurt̪ɔla
খাজুরবাড়িয়া,kʰaɟurbaɽiʲa
খাজুরা,kʰaɟura
খাজুরার,kʰaɟurar
খাট,kʰat
খাটছেন,kʰatcʰen
খাটতে,kʰatt̪e
খাটাচ্ছেন,kʰataccʰen
খাটানো,kʰatano
খাটাল,kʰatal
খাটালের,kʰataler
খাটিয়ে,kʰatiʲe
খাটুনি,kʰatuni
খাটে,kʰate
খাটের,kʰater
খাটো,kʰato
খাত,kʰat̪
খাতকে,kʰat̪ke
খাতগুলো,kʰat̪gulo
খাতগুলোতে,kʰat̪gulot̪e
খাতটি,kʰat̪ti
খাতসহ,kʰat̪ʃɔho
খাতা,kʰat̪a
খাতা-কলমে,kʰat̪a-kɔlmk
খাতাপত্র,kʰat̪apɔt̪ro
খাতামধুপুর,kʰat̪amd̪ʱupur
খাতার,kʰat̪ar
খাতায়,kʰat̪aʲ
খাতির,kʰat̪ir
খাতিয়াল,kʰat̪iʲal
খাতুন,kʰat̪un
খাতুনও,kʰat̪uno
খাতুনকে,kʰat̪unke
খাতুনগঞ্জ,kʰat̪ungɔnɟ
খাতুনগঞ্জের,kʰat̪ungɔnɟer
খাতুনতে,kʰat̪unt̪e
খাতুনের,kʰat̪uner
খাতে,kʰat̪e
খাতেই,kʰat̪e͡i̯
খাতেও,kʰat̪e͡o̯
খাতের,kʰat̪er
খাত্রাপাড়া,kʰat̪rapaɽa
খাদ,kʰad̪
খাদি,kʰad̪i
খাদিজা,kʰad̪iɟa
খাদিজাকে,kʰad̪iɟake
খাদিজার,kʰad̪iɟar
খাদিম,kʰad̪im
খাদিমপাড়া,kʰad̪imɔpaɽa
খাদিমপুর,kʰad̪impur
খাদুন,kʰad̪un
খাদে,kʰad̪e
খাদেম,kʰad̪em
খাদ্য,kʰad̪d̪o
খাদ্য-খোরাকের,kʰad̪d̪o-kʰoraker
খাদ্যগুদাম,kʰad̪d̪ogud̪am
খাদ্যগ্রহণ,kʰad̪d̪ogrohon
খাদ্যতালিকায়,kʰad̪d̪ot̪alikaʲ
খাদ্যদ্রব্য,kʰad̪d̪od̪robbo
খাদ্যদ্রব্যের,kʰad̪d̪od̪robber
খাদ্যপণ্য,kʰad̪d̪oponno
খাদ্যপণ্যবোঝাই,kʰad̪d̪oponnoboɟʱa͡i̯
খাদ্যপণ্যের,kʰad̪d̪oponner
খাদ্যমন্ত্রী,kʰad̪d̪omɔnt̪ri
খাদ্যমূল্যের,kʰad̪d̪omuller
খাদ্যশস্য,kʰad̪d̪oʃoʃʃo
খাদ্যশৃংখল,kʰad̪d̪osriŋkʰɔl
খাদ্যসামগ্রী,kʰad̪d̪oʃamogri
খাদ্যাভ্যাসও,kʰad̪d̪abʱæʃo
খাদ্যাভ্যাসে,kʰad̪d̪abʱe͡a̯ʃe
খাদ্যে,kʰad̪d̪e
খাদ্যের,kʰad̪d̪er
খান,kʰan
খানও,kʰano
খানকায়ে,kʰankaʲe
খানকে,kʰanke
খানজাহান,kʰanɟahan
খানদীঘিরপাড়,kʰand̪igʱirpaɽ
খানদের,kʰand̪er
খানপুর,kʰanpur
খানম,kʰanom
খানমকে,kʰanmke
খানমের,kʰanmer
খানস-এর,kʰanʃ-er
খানসহ,kʰanʃɔho
খানসামা,kʰanʃama
খানা,kʰana
খানাকুনিয়ারী,kʰanakuniʲari
খানাখন্দ,kʰanakʰɔnd̪o
খানাখন্দকে,kʰanakʰɔnd̪oke
খানাখন্দে,kʰanakʰɔnd̪e
খানাখন্দের,kʰanakʰɔnd̪er
খানায়,kʰanaʲ
খানিক,kʰanik
খানিকক্ষণ,kʰanikɔkkʰon
খানিকটা,kʰanikta
খানে,kʰane
খানেক,kʰanek
খানেকে,kʰaneke
খানেপুর,kʰanepur
খানের,kʰaner
খান্না,kʰanna
খান্নায়,kʰannaʲ
খাপ,kʰap
খাবার,kʰabar
খাবার-দাবার,kʰabar-d̪abar
খাবারও,kʰabaro
খাবারটা,kʰabarta
খাবারটি,kʰabarti
খাবারে,kʰabare
খাবারের,kʰabarer
খাবে,kʰabe
খাবেদুই,kʰabed̪u͡i̯
খাম,kʰam
খামখেয়ালি,kʰamkʰeʲali
খামখেয়ালিতে,kʰamkʰeʲalit̪e
খামখেয়ালির,kʰamkʰeʲalir
খামার,kʰamar
খামারটি,kʰamarti
খামারনাচকৈড়,kʰamaronacko͡i̯ɽ
খামারপাড়া,kʰamarpaɽa
খামারবাড়িতে,kʰamarbaɽit̪e
খামারবাড়ী,kʰamarbaɽi
খামারি,kʰamari
খামারিদের,kʰamarid̪er
খামারিরা,kʰamarira
খামারী,kʰamari
খামারে,kʰamare
খামারের,kʰamarer
খামের,kʰamer
খাম্বা,kʰamba
খারজানি,kʰarɟani
খারাপ,kʰarap
খারাপের,kʰaraper
খারিজ,kʰariɟ
খারিজের,kʰariɟer
খাল,kʰalo
খালও,kʰalo
খালকেও,kʰaloke͡o̯
খালগ,kʰalog
খালগুলো,kʰalgulo
খালগুলোও,kʰalgulo͡o̯
খালগুলোতে,kʰalgulot̪e
খালগোড়া,kʰalgoɽa
খালটি,kʰalti
খালটিকে,kʰaltike
খালদুনের,kʰald̪uner
খালপাড়া,kʰalpaɽa
খালপাড়েই,kʰalpaɽe͡i̯
খালবিল,kʰalbil
খালা,kʰala
খালাত,kʰalat̪
খালাতো,kʰalat̪o
খালাফ,kʰalapʰ
খালার,kʰalar
খালারা,kʰalara
খালাস,kʰalaʃ
খালাসী,kʰalaʃi
খালাসে,kʰalaʃe
খালাসের,kʰalaʃer
খালি,kʰali
খালিক,kʰalik
খালিকের,kʰaliker
খালিদ,kʰalid̪
খালিদকে,kʰalid̪ke
খালিপুর,kʰalipur
খালিশপুর,kʰaliʃpur
খালিশপুরে,kʰaliʃpure
খালিয়া,kʰaliʲa
খালিয়াজুরী,kʰaliʲaɟuri
খালিয়াজুরীতে,kʰaliʲaɟurit̪e
খালু,kʰalu
খালু-ভাগ্নি,kʰalu-bʱagni
খালে,kʰale
খালেই,kʰale͡i̯
খালেক,kʰalek
খালেককে,kʰalekke
খালেকসহ,kʰalekʃɔho
খালেকুজ্জামান,kʰalekuɟɟaman
খালেকের,kʰaleker
খালেদ,kʰaled̪
খালেদকে,kʰaled̪ke
খালেদা,kʰaled̪a
খালেদার,kʰaled̪ar
খালেদের,kʰaled̪er
খালের,kʰaler
খাল’,kʰalo’
খাশদাউদপুর,kʰaʃd̪a͡u̯d̪pur
খাশিয়া,kʰaʃiʲa
খাস,kʰaʃ
খাসগর,kʰaʃgɔr
খাসপাড়া,kʰaʃpaɽa
খাসবাগান,kʰaʃbagan
খাসভূমি,kʰaʃbʱumi
খাসাআজ,kʰaʃa͡a̯ɟ
খাসি,kʰaʃi
খাসির,kʰaʃir
খাসিয়া,kʰaʃiʲa
খাসিয়াপুঞ্জির,kʰaʃiʲapunɟir
খাসেরহাট,kʰaʃerhat
খাড়ইল,kʰaɽilo
খাড়া,kʰaɽa
খায়,kʰaʲ
খায়রুজ্জামান,kʰaʲruɟɟaman
খায়রুন,kʰaʲrun
খায়রুল,kʰaʲrul
খায়রুলকে,kʰaʲrulke
খায়রুলের,kʰaʲruler
খায়া,kʰaʲa
খায়ের,kʰaʲer
খায়েরকে,kʰaʲerke
খায়েরে,kʰaʲere
খায়েরের,kʰaʲerer
খায়েশ,kʰaʲeʃ
খিঁচুনি,kʰĩcuni
খিঁচুড়ি,kʰĩcuɽi
খিচুড়ি,kʰicuɽi
খিটখিটে,kʰitkʰite
খিতারিয়ানের,kʰit̪ariʲaner
খিদমাহ,kʰid̪ɔmaho
খিদিরপাড়া,kʰid̪irpaɽa
খিদিরপুর,kʰid̪irpur
খিদে,kʰid̪e
খিনওয়ান,kʰinoʷan
খিল,kʰil
খিলক্ষেত,kʰilkkʰet̪
খিলগাঁও,kʰilgão
খিলগাঁওয়ে,kʰilgãoʷe
খিলগাঁওয়ের,kʰilgãoʲer
খিলগ্রাম,kʰilɔgram
খিলাফত,kʰilapʰot̪o
খিলি,kʰili
খিসা,kʰiʃa
খীসা,kʰiʃa
খুঁজছি,kʰũɟcʰi
খুঁজছিল,kʰũɟcʰilo
খুঁজছিলেন,kʰũɟcʰilen
খুঁজছে,kʰũɟcʰe
খুঁজছেন,kʰũɟcʰen
খুঁজতে,kʰũɟt̪e
খুঁজবেন,kʰũɟben
খুঁজলেই,kʰũɟle͡i̯
খুঁজি,kʰũɟi
খুঁজি!যেখানে,kʰũɟi!ɟekʰane
খুঁজিযেখানে,kʰũɟiɟekʰane
খুঁজির,kʰũɟir
খুঁজে,kʰũɟe
খুঁজেও,kʰũɟe͡o̯
খুঁজেছেন,kʰũɟecʰen
খুঁটি,kʰũti
খুঁটিতে,kʰũtit̪e
খুঁটিনাটি,kʰũtinati
খুঁটিবাহী,kʰũtibahi
খুঁটির,kʰũtir
খুঁটিয়ে,kʰũtiʲe
খুঁত,kʰũt̪
খুঁতখুঁতে,kʰũt̪kʰũt̪e
খুঁড়তে,kʰũɽt̪e
খুঁড়ার,kʰũɽar
খুঁড়িয়ে,kʰũɽiʲe
খুঁড়ে,kʰũɽe
খুইল্যা,kʰu͡i̯lla
খুইয়ে,kʰu͡i̯ʲe
খুইয়েছে,kʰu͡i̯ʲecʰe
খুকু,kʰuku
খুকুমণিকে,kʰukumonike
খুচরা,kʰucra
খুটামারা,kʰutamara
খুতবা,kʰut̪ba
খুতুলুন,kʰut̪ulun
খুদ,kʰud̪
খুদে,kʰud̪e
খুন,kʰun
খুন-জখমের,kʰun-ɟkʰɔmer
খুনসহ,kʰunʃɔho
খুনসুটিবিষয়ক,kʰunʃutibiʃɔʲok
খুনি,kʰuni
খুনিকে,kʰunike
খুনিদের,kʰunid̪er
খুনির,kʰunir
খুনিরদের,kʰunirɔd̪er
খুনিরা,kʰunira
খুনী-ধর্ষকদের,kʰuni-d̪ʱɔrʃokd̪er
খুনের,kʰuner
খুনেরও,kʰunero
খুপরি,kʰupori
খুব,kʰub
খুবই,kʰubi
খুবিতে,kʰubit̪e
খুমেক,kʰumek
খুরশিদ,kʰurʃid̪
খুরশীদ,kʰurʃid̪
খুরুশস্কুল,kʰuruʃɔʃkul
খুর্শেদা,kʰurʃed̪a
খুলছেন,kʰulcʰen
খুলতে,kʰult̪e
খুলতে-খুলতে,kʰult̪e-kʰult̪e
খুলতেই,kʰult̪e͡i̯
খুলতেও,kʰult̪e͡o̯
খুলনা,kʰulna
খুলনা-কলকাতা,kʰulna-kɔlokat̪a
খুলনা-মাওয়া,kʰulna-ma͡o̯ʷa
খুলনা-যশোর,kʰulna-ɟʃor
খুলনাকে,kʰulnake
খুলনাগামী,kʰulnagami
খুলনাবাসী,kʰulnabaʃi
খুলনার,kʰulnar
খুলনায়,kʰulnaʲ
খুলবে,kʰulbe
খুলবেন,kʰulben
খুললে,kʰulle
খুললেন,kʰullen
খুলশি,kʰulʃi
খুলশী,kʰulʃi
খুলার,kʰular
খুলি,kʰuli
খুলিটি,kʰuliti
খুলে,kʰule
খুলেই,kʰule͡i̯
খুলেছে,kʰulecʰe
খুলেছেন,kʰulecʰen
খুশকি,kʰuʃki
খুশকির,kʰuʃokir
খুশালি,kʰuʃali
খুশি,kʰuʃi
খুশিই,kʰuʃi͡i̯
খুশিতে,kʰuʃit̪e
খুশিমনে,kʰuʃimone
খুশির,kʰuʃir
খুশী,kʰuʃi
খেই,kʰe͡i̯
খেওয়ারচর,kʰe͡o̯ʷarcɔr
খেকে,kʰeke
খেকো,kʰeko
খেজুর,kʰeɟur
খেজুরও,kʰeɟuro
খেজুরতলা,kʰeɟurt̪ɔla
খেজুরা,kʰeɟura
খেজুরের,kʰeɟurer
খেজুুর,kʰeɟu͡u̯r
খেটে,kʰete
খেটেছেন,kʰetecʰen
খেত,kʰet̪
খেতাব,kʰet̪ab
খেতাবপ্রাপ্ত,kʰet̪abprapt̪o
খেতুরিধাম,kʰet̪urid̪ʱam
খেতে,kʰet̪e
খেদ,kʰed̪
খেদমতের,kʰed̪mɔt̪er
খেদিরার,kʰed̪irar
খেপুপাড়া,kʰepupaɽa
খেবে,kʰebe
খেল,kʰælo
খেলছি,kʰelcʰi
খেলছিল,kʰelcʰilo
খেলছিলেন,kʰelcʰilen
খেলছে,kʰelcʰe
খেলছেন,kʰelcʰen
খেলত,kʰelɔt̪o
খেলতাম,kʰelt̪am
খেলতে,kʰelt̪e
খেলতেই,kʰelt̪e͡i̯
খেলতেন,kʰelt̪en
খেলনা,kʰælona
খেলনের,kʰeloner
খেলব,kʰelb
খেলবে,kʰelbe
খেলবেন,kʰelben
খেললে,kʰelle
খেললেও,kʰelle͡o̯
খেলা,kʰela
খেলা-ধুলা,kʰela-d̪ʱula
খেলাই,kʰela͡i̯
খেলাকে,kʰelake
খেলাগুলো,kʰelagulo
খেলাঘর,kʰelagʱɔr
খেলাচ্ছলে,kʰelaccʰole
খেলাটা,kʰelata
খেলাটাই,kʰelata͡i̯
খেলাটি,kʰelati
খেলাটিকে,kʰelatike
খেলাতে,kʰelat̪e
খেলাধুলা,kʰelad̪ʱula
খেলাধুলাবিষয়ক,kʰelad̪ʱulabiʃɔʲok
খেলাধুলামুখী,kʰelad̪ʱulamukʰi
খেলাধুলার,kʰelad̪ʱular
খেলাধুলায়,kʰelad̪ʱulaʲ
খেলাধূলা,kʰelad̪ʱula
খেলানো,kʰelano
খেলানোর,kʰelanor
খেলাপি,kʰelapi
খেলাপিদের,kʰelapid̪er
খেলাপির,kʰelapir
খেলাপিরা,kʰelapira
খেলাফত,kʰelapʰɔt̪o
খেলার,kʰelar
খেলাসহ,kʰelaʃɔho
খেলায়,kʰelaʲ
খেলায়ও,kʰelaʲo
খেলায়নদীগুলো,kʰelaʲond̪igulo
খেলায়২৪টি,kʰelaʲ24ti
খেলি,kʰeli
খেলিছো,kʰelicʰo
খেলিনি,kʰelini
খেলে,kʰele
খেলেই,kʰele͡i̯
খেলেও,kʰele͡o̯
খেলেছি,kʰelecʰi
খেলেছিল,kʰelecʰilo
খেলেছিলেন,kʰelecʰilen
খেলেছে,kʰelecʰe
খেলেছেন,kʰelecʰen
খেলেছেনও,kʰelecʰeno
খেলেন,kʰelen
খেলো,kʰelo
খেলোয়াড়,kʰeloʷaɽ
খেলোয়াড়ই,kʰeloʷaɽi
খেলোয়াড়কে,kʰeloʷaɽke
খেলোয়াড়দের,kʰeloʷaɽd̪er
খেলোয়াড়দেরকে,kʰeloʷaɽd̪erke
খেলোয়াড়রা,kʰeloʷaɽra
খেলোয়াড়রাও,kʰeloʷaɽra͡o̯
খেলোয়াড়ি,kʰeloʷaɽi
খেলোয়াড়ের,kʰeloʷaɽer
খেসরা,kʰesra
খেসারত,kʰeʃarɔt̪
খেসারি,kʰeʃari
খোঁচা,kʰe͡ã̯ca
খোঁচার,kʰe͡ã̯car
খোঁচায়,kʰe͡ã̯caʲ
খোঁজ,kʰe͡ã̯ɟ
খোঁজ-খবর,kʰe͡ã̯ɟ-kʰɔbɔr
খোঁজও,kʰe͡ã̯ɟo
খোঁজখবর,kʰe͡ã̯ɟkʰɔbɔr
খোঁজখুঁজি,kʰe͡ã̯ɟkʰũɟi
খোঁজা,kʰe͡ã̯ɟa
খোঁজাখুঁজি,kʰe͡ã̯ɟakʰũɟi
খোঁজাখুঁজির,kʰe͡ã̯ɟakʰũɟir
খোঁজাপুর,kʰe͡ã̯ɟapur
খোঁজার,kʰe͡ã̯ɟar
খোঁজে,kʰe͡ã̯ɟe
খোঁজেকুকুরের,kʰe͡ã̯ɟekukurer
খোঁজেন,kʰe͡ã̯ɟen
খোঁপা,kʰe͡ã̯pa
খোঁপার,kʰe͡ã̯par
খোঁপায়,kʰe͡ã̯paʲ
খোঁড়া,kʰe͡ã̯ɽa
খোঁড়াখুঁড়ি,kʰe͡ã̯ɽakʰũɽi
খোঁড়াখুঁড়ির,kʰe͡ã̯ɽakʰũɽir
খোঁড়ে,kʰe͡ã̯ɽe
খোঁয়া,kʰe͡ã̯ʲa
খোলেন,kʰe͡a̯len
খোয়ার,kʰe͡a̯ʲar
খেয়া,kʰeʲa
খেয়াঘাট,kʰeʲagʱat
খেয়াঘাটে,kʰeʲagʱate
খেয়াটি,kʰeʲati
খেয়াল,kʰeʲal
খেয়ে,kʰeʲe
খেয়েই,kʰeʲe͡i̯
খেয়েও,kʰeʲe͡o̯
খেয়েছি,kʰeʲecʰi
খেয়েছিল,kʰeʲecʰilo
খেয়েছে,kʰeʲecʰe
খেয়েছেন,kʰeʲecʰen
খৈলকুড়ি,kʰo͡i̯lkuɽi
খৈয়া,kʰo͡i̯ʲa
খোঁজ,kʰõɟ
খোঁজ-খবর,kʰõɟ-kʰɔbɔr
খোঁজাখুঁজি,kʰõɟakʰũɟi
খোঁজাখুঁজির,kʰõɟakʰũɟir
খোঁজার,kʰõɟar
খোঁসা,kʰõʃa
খোঁড়া,kʰõɽa
খোঁড়াখুড়িরও,kʰõɽakʰuɽiro
খোংলা,kʰoŋla
খোকন,kʰokon
খোকনও,kʰokono
খোকনকে,kʰokonke
খোকনের,kʰokoner
খোকশা,kʰokʃa
খোকসা,kʰokʃa
খোকা,kʰoka
খোকাকে,kʰokake
খোকার,kʰokar
খোজাঁখুঁজি,kʰoɟãkʰũɟi
খোদ,kʰod̪
খোদা,kʰod̪a
খোদাবক্সের,kʰod̪abɔkser
খোদার,kʰod̪ar
খোদিত,kʰod̪it̪o
খোদেজা,kʰod̪eɟa
খোদেজাকে,kʰod̪eɟake
খোনকারপাড়ার,kʰonkarpaɽar
খোনারের,kʰonarer
খোন্দকার,kʰond̪okar
খোন্দকারই,kʰond̪okari
খোন্দকারকে,kʰond̪okarke
খোপ,kʰop
খোবানিতে,kʰobanit̪e
খোর,kʰor
খোরশেদ,kʰorʃed̪
খোরশেদার,kʰorʃed̪ar
খোরশেদুর,kʰorʃed̪ur
খোরশেদের,kʰorʃed̪er
খোরাক,kʰorak
খোর্দ্দমহতীপুর,kʰord̪od̪omɔhot̪ipur
খোলপটুয়া,kʰolptuʷa
খোলপেটুয়া,kʰolpetuʲa
খোলা,kʰola
খোলা-বন্ধের,kʰola-bɔnd̪ʱer
খোলাই,kʰola͡i̯
খোলাপাড়া,kʰolapaɽa
