word,ipa
বিরুদ্ধাচরণকারীদের,birud̪d̪ʱacɔronkarid̪er
শ্বাসরোধে,ʃaʃrod̪ʱe
দরজায়,d̪ɔrɟaʲ
শিকল,ʃikl
বৃষ্টিপাতের,briʃtipat̪er
পিপি,pipi
লিখন,likʰɔn
নরসিংদী,nɔroʃiŋd̪i
মাধবদীতে,mad̪ʱobd̪it̪e
শত্রুপক্ষ,ʃot̪rupokkʰo
লাভজনক,labʱɟɔnok
সিরিজটি,siriɟti
জিম্বাবুয়ে,ɟimbabuʲe
দুর্যোগপূর্ণ,d̪urɟogpurno
আবহাওয়ার,aboha͡o̯ʷar
মারাত্মতভাবে,marat̪t̪bʱabe
এগোতে,egot̪e
প্রত্নতত্ত্ব,prot̪not̪ɔt̪t̪o
গবেষক,gɔbeʃɔk
যাকারিয়ার,ɟakariʲar
প্রচেষ্টায়,proceʃtaʲ
সীতাকোট,ʃit̪akot
বিহার,bihar
দুভেন্যুতেই,d̪ubʱennut̪e͡i̯
প্রতিভা,prot̪ibʱa
অন্বেষণের,ɔnneʃoner
প্রশাসকরা,proʃaʃokɔra
যাদুকরী,ɟad̪ukri
সংখ্যা,ʃɔŋkʰkʰa
সাতজন,ʃat̪ɟɔn
২০৪,204
ক্রীড়াবিদ,kriɽabid̪
৩৮২,382
তাঁকে,t̪ãke
সম্বোধন,ʃɔmbod̪ʱon
উন্মুক্ত,unmukt̪o
ব্যক্তিটি,bekt̪iti
মাইজ্জা,ma͡i̯ɟɟa
প্রলোভন,prolobʱɔn
দ্বিতীয়টিতে,d̪it̪iʲotit̪e
ক্যামেরন,kæmeron
স্যামির,sæmir
মন্তব্যের,mɔnt̪obber
মহৎ,mɔhot̪
উদ্দেশ্য,ud̪d̪eʃʃo
তৃণমূলের,t̪rinomuler
আস্থার,ast̪ʰar
কাগজের,kagoɟer
সমস্যা-সম্ভাবনা,ʃɔmoʃʃa-ʃɔmbʱabona
ক্রেতারা,kret̪ara
বাসস্ট্যান্ডে,baʃostande
নাগালে,nagale
রাজাবাজার,raɟabaɟar
আলিম,alim
ফাজিল,pʰaɟil
হাতিয়ে,hat̪iʲe
মর্নিংগ্লেজারের,mɔrniŋgleɟarer
নিশ্চয়ই,niʃcoʲi
মেহেদুল,mehed̪ul
১২২,122
হারুন-অর-রশিদ,harun-ɔrɔ-rɔʃid̪
এলজিএসপি-১,elɟi͡e̯spi-1
এলজিএসপি-২,elɟi͡e̯spi-2
সহিংসতাকারীরা,ʃɔhiŋʃɔt̪akarira
টিপুর,tipur
আয়ারল্যান্ড,aʲarɔlænd
ট্রানজেকশন,tranɟekʃon
ফরমের,pʰɔrmer
পেমেন্ট,pement
পেইজে,pe͡i̯ɟe
যথা,ɟɔt̪ʰa
লিখতে,likʰt̪e
ক্রান্তিকাল,krant̪ikal
সুযোগ-সুবিধা,ʃuɟog-ʃubid̪ʱa
বহরের,bɔhorer
গাড়িও,gaɽi͡o̯
এসেছিল,eʃecʰilo
পান্ডবের,pandober
দ্বৈতশাসনের,d̪o͡i̯t̪ɔʃaʃoner
সিংহাসনে,ʃiŋhaʃne
বসলেন,boʃɔlen
রাজা,raɟa
সহিংসতা,ʃɔhiŋʃɔt̪a
রোধকল্পে,rod̪ʱkɔlpe
উদ্যোগ,ud̪d̪og
ফিল্ম,pʰilt̪o
ফটোগ্রাফি,pʰotograpʰi
ইউএনডিপি,i͡u̯endipi
হুইল,hu͡i̯l
চাইছে,ca͡i̯cʰe
গিয়েই,giʲe͡i̯
খেলায়ও,kʰelaʲo
জুড়ি,ɟuɽi
ব্যস্ততাটাই,bæst̪ot̪ata͡i̯
মেকানিক,mekanik
৬টিতেই,6tit̪e͡i̯
সরকারে,ʃɔrkare
মন্ত্রিত্ব,mɔnt̪rit̪t̪o
পত্রিকাটিও,pɔt̪rikati͡o̯
কুতুবদিয়া,kut̪ubd̪iʲa
ধীরাশ্রম,d̪ʱirasrom
লাশ,laʃ
বাড়ালেই,baɽale͡i̯
গাঁজা,gãɟa
ফেনসিডিল,pʰensidil
হেরোইন,hero͡i̯n
প্যাথেডিনসহ,pæt̪ʰedinʃɔho
খরিদ্দাররা,kʰorid̪d̪arora
মাগরিবের,magoriber
নামাজও,namaɟo
ইজতেমা,iɟt̪ema
এ,e
ফিরেছেন,pʰirecʰen
ডেভিড,debʱid
মিলার,milar
ঘুমিয়ে,gʱumiʲe
২,2
নোটের,noter
বান্ডিল,bandil
৭০৮০,7080
টাকায়,takaʲ
হোতা,hot̪a
ছৈয়দ,cʰo͡i̯ʲod̪
আহাম্মদকে,ahammɔd̪ke
গীতিকার,git̪ikar
আখতারের,akʰt̪arer
জিদান,ɟid̪an
হাবিবুল,habibul
সিডিউলই,sidi͡u̯li
ড্রায়ের,draʲer
সুবাদে,ʃubad̪e
কাঠমান্ডুর,katʰmandur
উত্তর-পশ্চিমাঞ্চলীয়,ut̪t̪ɔr-pɔʃcimancoliʲo
পাহাড়ি,pahaɽi
চুচেভিরে,cucebʱire
কপ্টারটি,kɔptarti
বিধ্বস্ত,bid̪ʱd̪ʱɔst̪o
শুকনা,ʃukna
শেখের,ʃekʰer
উত্তরা,ut̪t̪ɔra
নুরুজ্জামান,nuruɟɟaman
সামিয়াকে,ʃamiʲake
ব্যাঙ্গালুরুর,bæŋgalurur
ওয়াটসন,oʷatʃɔn
৪টি,4ti
জর্ডান,ɟɔrdan
আব্দুল্লাহ,abd̪ullah
উভয়েই,ubʱɔʲe͡i̯
চাহাল,cahal
১টি,1ti
শত্রুঘ্নও,ʃot̪rugʱnɔ͡o̯
কেরিয়ারকে,keriʲarke
ময়দানে,mɔʲd̪ane
X,X
আইপিএসের,a͡i̯pi͡e̯ʃer
ব্যাটারিতে,bætarit̪e
নরওয়ের,nɔroʲer
নাগরিকই,nagoriki
রেডিওর,redi͡o̯r
আমজান,amɟan
খোর,kʰor
আকালু,akalu
আত্মস্বীকৃত,at̪t̪oʃʃikrit̪o
খুনিকে,kʰunike
পাঠক,patʰok
নিশ্চই,niʃco͡i̯
ভাবছেন,bʱabcʰen
লেখক,lekʰɔk
চাপাবাজি,capabaɟi
পতিতাবৃত্তিতে,pot̪it̪abrit̪t̪it̪e
তরুণীটি,t̪oruniti
চার্জারচালিত,carɟarcalit̪o
অটোভ্যানে,ɔtobʱæne
বনপাড়া,bɔnpaɽa
খ্রিস্টান,kʰristan
মিশনারি,miʃonari
ওয়ারড্রোপ,oʷardrop
সিমটি,ʃimti
চাহিদার,cahid̪ar
অপ্রতুল,ɔprot̪ul
বিড়ম্বনায়,biɽɔmbonaʲ
প্রদানকারীদের,prod̪ankarid̪er
মরিয়ম,moriʲom
শাহনাজ,ʃahonaɟ
তিক্ততা,t̪ikt̪ot̪a
অনভিপ্রেত,ɔnobʱipret̪
বিষণ্ণ,biʃɔnno
বোধ,bod̪ʱ
আসবাবপত্র,aʃbabpot̪ro
বাড়িকে,baɽike
বর্ণের,bɔrner
পেড়ে,peɽe
শাড়ি,ʃaɽi
রঙ-বেরঙের,rɔŋ-berɔŋer
পাঞ্জাবীতে,panɟabit̪e
বর্ণিল,bɔrnil
শাহবাগ,ʃahobag
টিএসসিসহ,ti͡e̯sʃiʃɔho
আশেপাশের,aʃepaʃer
এলাকা,elaka
ছাত্র-ছাত্রীদের,cʰat̪ro-cʰat̪rid̪er
নিদের্শ,nid̪erʃo
ফাউন্ডেশনে,pʰa͡u̯ndeʃone
খরচে,kʰɔrce
কেউ-কেউ,ke͡u̯-ke͡u̯
ধাঁচের,d̪ʱãcer
টেলিছবিটি,telicʰbiti
সুস্ময়,ʃuʃmɔk
উভয়পাশে,ubʱɔʲpaʃe
ভাস্কর্য,bʱaʃkɔrɟo
বেড,bed
নারীকে,narike
তোমায়,t̪omaʲ
উইশ,u͡i̯ʃ
করো,koro
ফুটাও,pʰuta͡o̯
শ্লোগান,slogan
ভ্যালেন্টাইন,bʱælenta͡i̯n
ডে-এর,de-er
গালা,gala
রাউন্ড,ra͡u̯nd
বিজ্ঞাপনদাতারা,biggapɔnd̪at̪ara
আয়কর,aʲkɔr
এআইটি,æ͡e̯͡i̯ti
রাখছেন,rakʰcʰen
এসেছেন,eʃecʰen
চঁাঁদগাও,cɔ̃ãd̪ga͡o̯
মিয়ার,miʲar
মন্না,mɔnna
মিস্ত্রি,mist̪ri
নাতি,nat̪i
আইওসির,a͡i̯osir
ভাইস-প্রেসিডেন্ট,bʱa͡i̯s-president
কোয়াটেস,koʲates
অ্যাথলেটরদের,æt̪ʰoletɔrɔd̪er
আরোপিত,aropit̪o
তাহিরপুর,t̪ahirpur
ব্রাহ্মণগাঁও,brammongão
লোকনাথ,loknat̪ʰ
গৌতম,go͡u̯t̪ɔmo
গম্ভীরও,gombʱiro
পুরোমাত্রায়,puromat̪raʲ
জয়ে,ɟɔʲe
অমিত,ɔmit̪o
টাকাকে,takake
কোটিতে,kotit̪e
অ্যান্টার্কটিকা,æntarkotika
মহাদেশের,mɔhad̪eʃer
আগ্নেয়গিরি,agneʲogiri
কোনটি-মাউন্ট,konti-ma͡u̯nt
ইরেবাস,irebaʃ
অনুভূতিটা,onubʱut̪ita
পর্দার,pɔrd̪ar
অভিনেত্রীদের,obʱinet̪rid̪er
গতি-প্রকৃতি,got̪i-prokrit̪i
তারুণ্যের,t̪arunner
নির্ভীকতা,nirbʱikɔt̪a
ক্রমেই,krome͡i̯
শাহরাস্তি,ʃahorast̪i
পাচার,pacar
কিলোমিটার,kilomitar
দুর্গাপূজায়,d̪urgapuɟaʲ
দর্শনার্থীদের,d̪ɔrʃonart̪ʰid̪er
শান্তিপূর্ণ,ʃant̪ipurno
যানজটমুক্ত,ɟanɟtmukt̪o
বলিউড,bɔli͡u̯d
বিবেক,bibek
ওবেরয়সহ,oberɔʲoʃɔho
ঝাক,ɟʱak
স্কুলছাত্র,skulcʰat̪ro
আবির,abir
রবিদাসকে,robid̪aʃke
হত্যাকারী,hot̪t̪akari
মিরাজের,miraɟer
দিনমজুর,d̪inmoɟur
আকমলকে,akmolkk
খেলানো,kʰelano
শিমরাইলে,ʃimra͡i̯le
চারদিন,card̪in
অচলাবস্থা,ɔcolabɔst̪ʰa
কাপাসিয়ার,kapaʃiʲar
তারগাঁও,t̪argão
হরতালই,hɔrot̪ali
মানেনি,maneni
আমিনে,amine
ল্যাপটপ,læpɔtop
তছনছ,t̪ɔcʰoncʰo
ছয়জনকে,cʰɔʲɟɔnke
ইনজুরি,inɟuri
হাইভোল্টেজ,ha͡i̯bʱolteɟ
রাখছেন,rakʰcʰen
চীন,cin
দীর্ঘমেয়াদে,d̪irgʱomeʲad̪e
প্রয়োগে,proʲoge
মোল্যা,molæ
আকিজ,akiɟ
জুট,ɟut
শ্রমিকবাহী,sromikbahi
তলার,t̪ɔlar
উঠার,utʰar
স্পষ্টতই,spɔʃtot̪o͡i̯
প্রতীয়মান,prot̪iʲoman
মেডিসিন,medisin
মনির,monir
প্রতিবন্ধীদের,prot̪ibɔnd̪ʱid̪er
নির্মিতব্য,nirmit̪obbo
প্রতিবন্ধী,prot̪ibɔnd̪ʱi
মাংসে,maŋʃe
গড়া,gɔɽa
শিরোনামের,ʃironamer
অধিনায়কত্ব,od̪ʱinaʲokɔt̪t̪o
চরিত্র,corit̪ro
গোয়েন্দা,goʲend̪a
বর্জ্যরে,bɔrɟore
অপসরাণের,ɔpoʃɔraner
ধীরগতি,d̪ʱirgot̪i
চৈত্র,co͡i̯t̪ro
কমবেশি,kombeʃi
সংলাপমুক্তাগাছা,ʃɔŋlapmukt̪agacʰa
সংলাপ,ʃɔŋlap
ইউরোপা,i͡u̯ropa
কাপের,kaper
ম্যাচেও,mæce͡o̯
পর্তুগাল,pɔrt̪ugal
দীর্ঘকালের,d̪irgʱokaler
শিক্ষক-কর্মচারীরা,ʃikkʰɔkkɔr-mocarira
ধরনা,d̪ʱɔrona
পাঁচ-সাত,pãc-ʃat̪
চাননি,canni
সানাউল্লাহ,ʃana͡u̯llah
খসড়াও,kʰɔʃɽa͡o̯
স্ট্রাইক,stra͡i̯k
রেট,ret
১৬৯৭৯,16979
উস্কানিতে,uskanit̪e
আতিকুল,at̪ikul
এনএসইউ,eneʃi͡u̯
ট্রাস্টিজের,trastiɟer
কর্র্তৃপক্ষ,kɔrst̪ripokkʰo
থাকাসহ,t̪ʰakaʃɔho
অজুহাত,oɟuhat̪
দায়সারা,d̪aʲʃara
বাদুড়তলার,bad̪uhɔt̪ɔlar
ছাপাখানা,cʰapakʰana
তুফান,t̪upʰan
চলাফেরা,cɔlapʰera
দামি,d̪ami
গাড়িতে,gaɽit̪e
মেরেছে,merecʰe
কৃষককের,kriʃɔkker
অধিগ্রহণ,od̪ʱigrohon
প্রক্রিয়াধীন,prokriʲad̪ʱin
নিন্মমধ্যবিত্ত,ninmomod̪od̪ʱobit̪t̪o
নিন্মবিত্ত,ninmobit̪t̪o
শিকার,ʃikar
ফারুকী,pʰaruki
ঈদে,id̪e
তিশার,t̪iʃar
রান্না,ranna
মানুষদের,manuʃd̪er
চমকের,cɔmoker
আমন্ত্রণপত্র,amnt̪ronpot̪ro
পিটুনি,pituni
কলম্বোর,kɔlombor
পি,pi
গণমাধ্যমকর্মীরা,gɔnomad̪d̪ʱomkɔrmira
পেশাগত,peʃagɔt̪o
দড়িচর,d̪oɽicɔr
বন্দুকধারীদের,bond̪ukɔd̪ʱarid̪er
কারাভোগ,karabʱog
শাজাহানের,ʃaɟahaner
হুমকি-ধমকি,humki-d̪ʱɔmki
ভয়ভীতি,bʱɔʲbʱit̪i
প্রর্দশন,prord̪oʃon
লুই,lu͡i̯
ভ্যানগলের,bʱængɔler
জানায়নি,ɟanaʲoni
ম্যানইউ,mæni͡u̯
পৌণে,po͡u̯ne
কৈগাড়ি,ko͡i̯gaɽi
আনিসুর,aniʃur
ফোর্স,pʰors
পিন্টুর,pintur
মোকাম্মেল,mokammt̪ɔl
রশীদুল,rɔʃid̪ul
আড়িয়ল-বালিগাঁও,aɽiʲol-baligão
ইউনিয়নকে,i͡u̯niʲonke
আশানুরূপ,aʃanurup
করেতে,koret̪e
গরু,goru
রেহমানের,rehmaner
অমানবিক,ɔmanobik
অসভ্যতা,ɔʃobbʱot̪a
শুরু,ʃuru
অভিনয়ও,obʱinɔʲo
নুরুজ্জামিন,nuruɟɟamin
পিয়াস,piʲas
লোমহর্ষক,lomhorʃɔk
তাজিকিস্তানকে,t̪aɟikist̪anke
শুভঙ্কর,ʃubʱɔŋkɔr
সাহাও,ʃaha͡o̯
রয়টার্সের,rɔʲtarser
আঠার,atʰar
থানাকে,t̪ʰanake
জুভেন্টাস,ɟubʱentaʃ
দৃষ্টিনন্দন,d̪riʃtinɔnd̪on
তোরণ,t̪oron
পরাজয়ের,pɔraɟɔʲer
সেটাই,ʃeta͡i̯
সেক্টরে,sektɔre
গাফিলতির,gapʰilot̪ir
হারতা,hart̪a
মোজাফর,moɟapʰɔr
বরখাস্তসহ,bɔrkʰast̪oʃɔho
পরিবর্তিত,poribɔrt̪it̪o
সার্টিফিকেশন,ʃartipʰikeʃon
বারডেম,bardem
অডিটোরিয়ামে,ɔditoriʲame
গাণিতিক,ganit̪ik
পদার্থবিষয়ক,pɔd̪art̪ʰobiʃɔʲok
অ-ইউনিটএর,ɔ-i͡u̯niter
আসরেও,aʃre͡o̯
গ্রাস,graʃ
জিতেন,ɟit̪en
জমকালো,ɟɔmkalo
২টায়,2taʲ
বিস্তৃত,bist̪rit̪o
ভিয়েতনামে,bʱiʲet̪name
কৃষ্ণাদের,kriʃnad̪er
প্রস্তুতিমেয়েদের,prost̪ut̪imeʲed̪er
এএফসি,e͡e̯pʰsi
অনূর্ধ্ব-১৬,ɔnurd̪ʱo-16
গভর্নর,gɔbʱɔrnɔr
আতিউর,at̪i͡u̯r
করেননি,kɔrenni
দুগ্রুপে,d̪ugrupe
অ্যাথলেটরা,æt̪ʰoletra
এমনিতে,emnit̪e
দুর্নাম,d̪urnam
অন্যায়আরও,ɔnnaʲaro
দিয়েছ,d̪iʲecʰo
নারায়ণগঞ্জের,naraʲongɔnɟer
রূপগঞ্জে,rupogɔnɟe
সুদসহ,ʃud̪ʃɔho
রাশেদকে,raʃed̪ke
বেনারকে,benarke
নিউজকে,ni͡u̯ɟke
ক্যান্সার,kænʃar
কোলাজেন,kolaɟen
ডিজিজেও,diɟiɟe͡o̯
জ্বর,ɟɔr
টাইটেনিয়াম,ta͡i̯teniʲam
অক্সাইডের,ɔksa͡i̯der
পাতলা,pat̪la
আবরণ,aboron
আঙ্গুলের,aŋguler
ডগায়,dɔgaʲ
উর্দু,urd̪u
হজরতের,hɔɟorɔt̪er
আবেদনে,abed̪ɔne
ওয়াশিংটনের,oʷaʃiŋtoner
সালিশী,saliʃi
কপি,kopi
তলবের,t̪ɔlber
আবেদনও,abed̪ɔno
মেরুরচর,merurcɔr
ভাটি,bʱati
কলকিহারা,kolokihara
পানশালায়,panʃalaʲ
আতঙ্কিত,at̪oŋkit̪o
শাকিলের,ʃakiler
কথাকাটাকাটি,kɔt̪ʰakatakati
ভ্রমণে,bʱromone
ফিয়দর,pʰiʲd̪ɔr
কোনিউখভের,koni͡u̯kʰɔbʱer
লেগেছে,legecʰe
প্রতিভাবান,prot̪ibʱaban
প্রদান,prod̪an
মুখোমুখিতে,mukʰomukʰit̪e
প্রশাসনে,proʃaʃɔne
জেট,ɟet
এয়ারওয়েজ,eʲaroʷeɟ
নিধি,nid̪ʱi
ব্রাসেলস,brasels
নেবার্কে,nebarke
অগণিত,ɔgonit̪o
ভোটার,bʱotar
শুভাকাক্সক্ষীরা,ʃubʱakakʃokkʰira
পাখি,pakʰi
অলিম্পিকের,olimpiker
আশীর্বাদ,aʃirbad̪
প্রেরণা,prerona
চিত্রনায়ক,cit̪ronaʲok
নিরব,nirɔb
প্রতিভাবান,prot̪ibʱaban
বোলারের,bolarer
ইয়াসিরের,iʲasirer
ডানহাতি,danhat̪i
হাঁকান,hãkan
চার,car
হাই,ha͡i̯
আকলিমা,aklima
মেহেরুন্নেছা,meherunnecʰa
অংশগ্রহণকারীরাও,ɔŋʃogrohonkarira͡o̯
কোর্সে,korse
বাঘা,bagʱa
আড়ানী,aɽani
মাহ্ফিলে,mahopʰile
রাখবেন-পান-সুপারি,rakʰben-pan-ʃupari
জর্দা,ɟɔrd̪a
চুন-খয়ের,cun-kʰɔʲer
একদম,ækd̪ɔm
বার্তায়,bart̪aʲ
নিবন্ধিত,nibɔnd̪ʱit̪o
ফুলবাড়ী,pʰulbaɽi
চক্ষু,cokkʰu
মানোন্নয়নে,manonnɔʲone
দেখান,d̪ækʰan
ওয়াহেদুজ্জামান,oʷahed̪uɟɟaman
জানিয়েছিলেন,ɟaniʲecʰilen
বড়ভাই,bɔɽobʱa͡i̯
বিজ্ঞানীরাও,biggænira͡o̯
কূলকিনারা,kulkinara
অস্ট্রেলিয়ার,ɔstreliʲar
রাষ্ট্রায়ত্ত,raʃtraʲot̪t̪o
বেসিক,beʃik
চেয়ারম্যানের,ceʲarmæner
পবিত্র,pobit̪ro
বাহিনীতে,bahinit̪e
আছি,acʰi
বিষয়টাকে,biʃɔʲtake
আইনিভাবেই,a͡i̯nibʱabe͡i̯
চাই,ca͡i̯
ভগ্নিপতি,bʱɔgnipot̪i
৬১,61
নথিপত্রে,not̪ʰipɔt̪re
নিয়োগপ্রাপ্তরা,niʲogprapt̪ora
দিনে-রাতে,d̪ine-rat̪e
ভরসা,bʱɔroʃa
চিকিৎসকরাই,cikit̪ʃɔkra͡i̯
ছায়ার,cʰaʲar
মুক্তিযোদ্ধারা,mukt̪iɟod̪d̪ʱara
ঘটানাটি,gʱɔtanati
বাজারে,baɟare
সজীবকে,ʃoɟibke
মোটরসাইকেলবহরে,motorsa͡i̯kelbɔhore
৮৯তম,89t̪ɔmo
শ্বেতাঙ্গদের,ʃet̪aŋgod̪er
কৃষ্ণবর্ণের,kriʃnobɔrner
শিল্পীদেরও,ʃilpid̪ero
বরদানগর,bɔrd̪angɔr
গুমানী,gumani
গোসল,gosol
ডলারের,dɔlarer
সই,ʃo͡i̯
বান্দরবানের,band̪orbaner
বেলাল,belal
যুবায়ের,ɟubaʲer
নিলয়,nilɔʲ
পুস্কর,puʃkɔr
ক্ষিসা,kʰiʃa
মিমো,mimo
কাঁঠালী,kãtʰali
ভ্যানে,bʱæne
বইগুলো,bo͡i̯gulo
দেয়া,d̪eʲa
দৃষ্টিভঙ্গি,d̪riʃtibʱoŋgi
ক্ষেত্রেও,kʰet̪re͡o̯
সোমবার,ʃombar
রিমান্ডের,rimander
যুবদল,ɟubod̪ɔl
হারুনকে,harunke
মৌনমিছিলে,mo͡u̯nomicʰile
নেতা-কর্মীরা,net̪a-kɔrmira
ঝুনাগাছ,ɟʱunagacʰ
চাঁপানী,cãpani
গোলম,golom
১৯৮৪,1984
নির্দেশনাও,nird̪eʃona͡o̯
রক্ষাকারী,rokkʰakari
১৩৫টি,135ti
ভোটকেন্দ্রের,bʱotokend̪rer
১১০টিকেই,110tike͡i̯
নিয়ন্ত্রক,niʲont̪rok
ফাতেমা,pʰat̪ema
সুলতানা,sult̪ana
ডিলারের,dilarer
উৎকোচ,ut̪koc
ডিলাররা,dilarra
ককটেলের,kɔkteler
ঢুকলাম,dʱuklam
তিনতলা,t̪int̪ɔla
রেস্তোরাঁ,rest̪orã
আপিলের,apiler
বেঞ্চ,benc
ওপরে,upore
মেসেজ,meʃeɟ
ছাত্রলীগ,cʰat̪rolig
কেশারপাড়,keʃarpaɽ
ইটবাড়ীয়া,itbaɽiʲa
বিপিএল,bipi͡e̯l
হ্যাকাররা,hækarra
হ্যাকার,hækar
সিলগালা,silgala
ঘোরানোর,gʱoranor
পর্যটক,porɟotɔk
সেন্টমার্টিন,sentmartin
কাওয়াখোলা,ka͡o̯ʷakʰola
চুকাইর,cuka͡i̯r
রিকার্ডো,rikarde͡a̯
জিঙ্গারো,ɟiŋgaro
৭১টি,71ti
৫৫৭টি,557ti
রেকারিং,rekariŋ
মুম্বাই,mumba͡i̯
বিদ্যুৎ,bid̪d̪ut̪
বোল্ট,bolt
এতদিনে,æt̪od̪ine
মহাকাব্য,mɔhakabbo
তরুণীর,t̪orunir
চলচ্চিত্রটিতে,cɔloccit̪rotit̪e
মেওয়ারের,me͡o̯ʷarer
শাসক,ʃaʃok
রাওয়াল,ra͡o̯ʷal
সিংয়ের,ʃiŋʲer
পদ্মাবতীর,pɔd̪abot̪ir
জাহেদ,ɟahed̪
মেমোরিয়াল,memoriʲal
শিশুটি,ʃiʃuti
ওয়্যারলেসে,obt̪arleʃe
ব্রিফিংয়ের,bripʰiŋʲer
মাঠপর্যায়ে,matʰporɟaʲe
সংশ্লিষ্টতার,ʃɔŋsliʃtot̪ar
সাগরে,ʃagore
জলবেষ্টিত,ɟɔlbeʃtit̪o
মার্তিনিকের,mart̪iniker
ন্যাশনাল,næʃonal
ঘটান,gʱɔtan
স্পেনে,spene
নাব্য,nabbo
সংকটে,ʃɔŋkɔte
ঐসব,o͡i̯ʃɔb
জুয়া,ɟuʲa
কোােন,ko͡a̯͡e̯n
আইনজীবীরা,a͡i̯noɟibira
জেমস,ɟemʃ
বাচন্যান,baconæn
ব্যাচেলর,bæcelɔr
ফেনীতে,pʰenit̪e
কলেজছাত্রীর,kɔleɟcʰat̪rir
আত্মহত্যাফেনী,at̪t̪ohɔt̪t̪apʰeni
প্রতিনিধিফেনীতে,prot̪inid̪ʱipʰenit̪e
আবেদা,abed̪a
কলেজছাত্রী,kɔleɟcʰat̪ri
আঙুলে,aŋule
কভারিং,kɔbʱariŋ
ব্রিসল,briʃɔl
ফিংগার,pʰiŋgar
ব্রাশও,braʃo
পার্লামেন্টের,parlamenter
থাবিন,t̪ʰabin
ডলি,doli
মহিলাবিষয়ক,mohilabiʃɔʲok
হুসনেআরা,huʃne͡a̯ra
তালুকদার,t̪alukd̪ar
রনজি,ronoɟi
ট্রফিতে,tropʰit̪e
বরোদার,bɔrod̪ar
ডাবল,dabol
ছুঁয়েছিলেন,cʰũʲecʰilen
১২৩,123
রানিয়েরিকে,raniʲerike
হরেক,hɔrek
সুবিধাভোগীদের,ʃubid̪ʱabʱogid̪er
মনিরামপুর,monirampur
উপায়শ্বাসতন্ত্রের,upaʲoʃʃaʃt̪ɔnt̪rer
অসুখের,ɔʃukʰer
উপসর্গ,upoʃɔrgo
ডেমনসের,demɔnʃer
ম্যাক্স,mækʃo
গনের,gɔner
কুস্তি,kust̪i
বাপ্পী,bappi
হামজাপুর,hamɟapur
মসলেম,mɔʃolem
২০১৬-১৭,2016-17
রেলের,reler
৩০৬,306
ফেরা,pʰera
প্রকৃতপক্ষে,prokrit̪opokʰkʰe
ইসলামী,islami
রাষ্ট্র,raʃtro
পশ্চিমা,poʃcima
মূল্যাবোধেরও,mullabod̪ʱero
দর্শকও,d̪ɔrʃoko
২০র,20ro
হিতৈষী,hit̪o͡i̯ʃi
ভাতা,bʱat̪a
সাঁঝবাতির,ʃãɟʱbat̪ir
প্রিমিয়ার-শো,primiʲar-ʃo
বিএনপি-জামায়াত,bi͡e̯npi-ɟamaʲat̪
ফরিদগঞ্জ,pʰorid̪gɔnɟ
হাছান,hacʰan
নেশার,neʃar
মাসব্যাপী,maʃbæpi
৬৪টি,64ti
৭৮টি,78ti
মাহমুদুর,mahmud̪ur
যুক্তিসঙ্গত,ɟukt̪iʃɔŋgɔt̪o
উন্নতির,unnot̪ir
মৃতদেহগুলো,mrit̪od̪ehgulo
দ্রæত,d̪rot̪o
প্রাঙ্গণের,praŋgoner
বইমেলার,bo͡i̯melar
করুক,koruk
প্রান্তিক,prant̪ik
রাজ,raɟ
শেখকে,ʃekʰoke
সুদের,ʃud̪er
খরচই,kʰɔroci
অদক্ষতার,ɔd̪okkʰot̪ar
উদয়,ud̪ɔʲ
শেঠী,ʃetʰi
বাংলায়,baŋlaʲ
মধ্যবিত্ত,mod̪d̪ʱobit̪t̪o
উন্মেষ,unmeʃ
বিকাশ,bikaʃ
লেকচারে,lekcare
প্রত্যাশীরা,prot̪t̪aʃira
ম্যানেজ,mæneɟ
কাগজে,kagoɟe
নান্দাইল,nand̪a͡i̯l
কাব,kabo
চাইলাম-,ca͡i̯lam-
যাবেনতিনি,ɟabent̪ini
গুলশানে,gulʃane
লক্ষ্মীকুঞ্জে,lokkʰikunɟe
জানালেন,ɟanalen
ইস্যুতে,isd̪ʱut̪e
দুঃখ,d̪ukkʰo
এতে,et̪e
হেলিকপ্টারটি,helikptarti
উত্তর-পশ্চিম,ut̪t̪ɔr-pɔʃcim
সাইবেরিয়া,ʃa͡i̯beriʲa
ক্রাসনোয়ারস্ক,kraʃnoʷarsko
ইয়ামালো-নেনেতস্কি,iʲamalo-nenet̪ɔʃki
উরেঙ্গয়,ureŋgoʲ
তো,t̪e͡a̯
যুগান্তরে,ɟugant̪ɔre
লাইফস্টাইলের,la͡i̯pʰɔsta͡i̯ler
বিবিখানা,bibikʰana
পিঠা,pitʰa
মটর,mɔtor
মিতু,mit̪u
হত্যাকাণ্ডে,hot̪t̪akande
শাহজাহানকে,ʃahoɟahanke
আদালতে,ad̪alt̪e
দুজন,d̪uɟon
ইটিউন্সের,iti͡u̯nʃer
প্রযোজনায়,proɟoɟɔnaʲ
পেক্ষাগৃহের,pekkʰagriher
ভিডিওটির,bʱidi͡o̯tir
শাহারিয়ার,ʃahariʲar
পলক,pɔlok
৮৩,83
৫৮২,582
প্রজ্ঞাপনের,proggaponer
সংরক্ষণমূলক,ʃɔŋrokkʰɔnmulok
আরোপের,aroper
৫৬,56
০৭,07
শুল্ক-কর,ʃulko-kɔr
কুদ্দুস,kud̪d̪uʃ
পরান,pɔran
তাঁত,t̪ãt̪
