Rangpur,ipa_rangpur,Kishoreganj,kishoreganj_ipa,Chittagong,chittagong_ipa,Narsingdi,ipa_narshingdi,Narail,narail_ipa
হসি,hoʃi,মেস্তুরি,mest̪uri,ছবি-টবি,cʰobi-tbi,ফুপ্পি,,জাইন্নে,ɟa͡i̯nne
হাইলন,ha͡i̯lon,আইজ্জা,a͡i̯ɟɟa,তুইলতো,t̪u͡i̯lɔt̪o,খাবারগুলি,,বুন্ডি,bundi
এতো,et̪o,রাইহানরে,ra͡i̯hanre,ঘটনাস্থলর,gʱɔtonast̪ʰɔlr,একসের,,অত্তো,ɔt̪t̪o
উকুন,ukun,ফাইছলাম,pʰa͡i̯cʰɔlam,সামনের,ʃamoner,ফুপির,,সিংহের,ʃiŋher
শালার,ʃalar,ছারহি,cʰarhi,দুই-তিন,d̪u͡i̯-t̪in,খানা,,চোখ,cokʰ
গেলোরে,gelore,আওয়াইল্লা,a͡o̯ʷa͡i̯lla,পাহারাদার,paharad̪ar,থাহিছ,,ভাডি,bʱadi
খিলাইস,kʰila͡i̯ʃ,ফুরলে,pʰurle,বওয়াইয়্যি,boʷa͡i̯ʲi,ফুপি,,এখনও,ækʰono
তোরা,t̪ora,হাছুনের,hacʰuner,অপজিটেও,ɔpoɟite͡o̯,মাদা,,পারলিনে,parline
দিসেলেন,d̪iʃelen,হেইতার,he͡i̯t̪ar,ফত্যেক,pʰot̪t̪ek,কুন,,এনে,ene
দেখিয়া,d̪ekʰiʲa,ফলির,pʰolir,যানবাহন,ɟanbahon,ফরতেক,,সেনে,ʃene
বাদ,bad̪,ফুইরা,pʰu͡i̯ra,আইয়্যির,a͡i̯kir,ভাগে,,ছিরে,cʰire
কীরে,kire,হাছুইন,hacʰu͡i̯n,বেয়াকগুনেরে,beʲakgunere,ফাই,,ব্যারাবি,bærabi
যান,ɟan,আছেই,acʰe͡i̯,দিয়্যেদে,d̪ikked̪e,অবশ্য,,পোস্টারে,postare
আমারো,amaro,হাছুন,hacʰun,ঘটনাত,gʱɔtonat̪o,সীমান্ত,,ছবি,cʰobi
নিতান,nit̪an,ফুরা,pʰura,নামিবা,namiba,খাইতো,,সিঙোর,ʃiŋor
পারো,paro,দেও,d̪e͡o̯,ছবিও,cʰobi͡o̯,বাইয়ে,,সবমিলে,ʃɔbmile
কালকা,kalka,বেবসাও,bebʃa͡o̯,তুলিবা,t̪uliba,বাইয়েরার,,হাজার,haɟar
ছাগলগুলাক,cʰagolgulak,টিকমতো,tikmɔt̪o,যাইবাগুই,ɟa͡i̯bagu͡i̯,আয়ে,,বোত্রিশশো,bot̪riʃʃo
লাইফবয়,la͡i̯pʰbɔʲ,শিকলাইন,ʃikla͡i̯n,এ্যান-ত্যান,t̪ænɔ-t̪æn,বউ,,ওইরম,o͡i̯rɔm
সাবান,ʃaban,বুজে,buɟe,ঘটনাস্থলত,gʱɔtonast̪ʰolɔt̪o,ভাবা,,বোত্রিশশোর,bot̪riʃʃor
গাও,ga͡o̯,ছুল,cʰul,জনেরে,ɟɔnere,ভাইগুলো,,মদ্যি,mod̪d̪i
ধোয়ায়,d̪ʱoʷaʲ,কাটলে,katle,এদিক্কা,ed̪ikka,বিয়ের,,বুইছিস,bu͡i̯cʰiʃ
দিসোঙ,d̪iʃoŋ,এম্নেরার,emnerar,নিয়্যেরে,niʃkere,গেচ্ছে,,ক্যাবলাডা,kæbɔlada
শ্যাম্পু,ʃæmpu,গরু,goru,ইয়্যিনেরে,ikinere,অনোই,,ইডা,ida
ধুইয়া,d̪ʱu͡i̯ʲa,এবারে,ebare,নামাই,nama͡i̯,বৎস,,অর্জুনির,ɔrɟunir
দিবু,d̪ibu,ইদের,id̪er,যেইল্লা,ɟe͡i̯lla,কেআরতাছছ,,ছায়াল,cʰaʲal
দেয়া,d̪eʲa,কাওয়াইন,ka͡o̯ʷa͡i̯n,ফালাইয়্যি,pʰala͡i̯ki,এডারে,,ছোট্টা,cʰotta
এলার্জি,elarɟi,কাওয়ায়,ka͡o̯ʷaʲ,গইরগে,go͡i̯rge,খাচ্চর,,স্বপ্ন,ʃɔpno
হয়না,hɔʲna,তা,t̪a,চোখের,cokʰer,যেডাইওক,,হালা,hala
চামড়া,camɽa,কাওয়াই,ka͡o̯ʷa͡i̯,মামু,mamu,ফাচলে,,ওইতি,o͡i̯t̪i
তলে,t̪ɔle,মুডাতাজা,mudat̪aɟa,আরেক্কান,arekkan,হুয়া,,সজীবগে,ʃoɟibge
চুলকাত,culkat̪,বুজলাম,buɟlam,খও,kʰɔ͡o̯,ঘুরতে,,বিল্ডিং,bildiŋ
বানায়,banaʲ,গাস,gaʃ,খইতাম,kʰo͡i̯t̪am,যাওয়ার,,খুঁচতিছে,kʰũcot̪icʰe
তাহলে,t̪ahole,হরতাম,hɔrot̪am,ফেলো,pʰelo,নানু,,মাটির,matir
যাতে,ɟat̪e,ফিড,pʰid,নিয়্যাত,niʃkʰat̪o,বাড়িওই,,কাঠি,katʰi
স্কিন,skin,আইন্নাও,a͡i̯nna͡o̯,গইরগিলা,go͡i̯rgila,নাহ,,এইরম,e͡i̯rɔm
স্কিনের,skiner,এলারজি,elarɟi,ফেলাও,pʰela͡o̯,ইদে,,খুঁচাচ্ছে,kʰũcaccʰe
উপরে,upɔre,গরুর,gorur,কনফিউশন,konpʰi͡u̯ʃon,নিবা,,ঠাউর,tʰa͡u̯r
নিবলাই,nibla͡i̯,কাওয়াইতাছি,ka͡o̯ʷa͡i̯t̪acʰi,মাঝখানে,maɟʱkʰane,আমাকে,,রাস্তাদে,rast̪ad̪e
করবো,korbo,আমারতা,amarot̪a,ফরকীয়ার,pʰɔrkiʲar,ছাচু,,ওনে,one
কোনটা,konta,বেডাইন্তে,beda͡i̯nt̪e,খইবে,kʰo͡i̯be,দিতো,,হাগতিছির,hagot̪icʰir
ওইজন্য,o͡i̯ɟonno,কাওয়াইবো,ka͡o̯ʷa͡i̯bo,খইয়্যো,kʰo͡i̯ʲd̪ʱo,দিআইছে,,ভাইগ্নেরে,bʱa͡i̯gnere
দিসি,d̪iʃi,মতন,mɔt̪on,একজন,ækɟon,শপিংয়ের,,কবিতা,kobit̪a
ক্যামন,kæmon,যেতা,ɟet̪a,ফ্রেন্ড,pʰrend,প্রায়,,শুনোতো,ʃunot̪o
চামড়ার,camɽar,হুস্টেলো,hustelo,লম্বা,lɔmba,সিরিয়াস,,কবিতাডা,kobit̪ada
বুঝা,buɟʱa,যেডি,ɟedi,খইয়্যু,kʰo͡i̯ʲd̪ʱu,টেহাও,,অর্ঘ্য,ɔrgʱo
ছাগলের,cʰagoler,কায়,kaʲ,খারণ,kʰaron,আতো,,পাগল,pagolo
ঘাট,gʱat,এডি,edi,ফাঁচ,pʰãc,আইতো,,খায়না,kʰaʲna
এঈটারই,e͡i̯tari,খাইন,kʰa͡i̯n,প্রায়,praʲ,সুন্দরভাবে,,ছাগল,cʰagol
ওগনা,ogona,বাহের,baher,আনন,anon,ভদ্রভাবে,,খায়,kʰaʲ
চেনেসু,cenesu,হুটেল,hutel,উচিৎ,ucit̪,লাইছি,,মুরগীর,murgir
মধ্যমধ্যি,mod̪d̪ʱomod̪ʱi,একটাই,ækta͡i̯,তারফরেও,t̪arpʰɔre͡o̯,হেদিন,,ঝোল,ɟʱol
ট্যাম্পু,tæmpu,ফারতক্কো,pʰart̪ɔkko,ওইসময়,o͡i̯ʃɔmɔʲ,ফ্যাক্ট,,ল্যাংটা,læŋta
মাথাস,mat̪ʰaʃ,দাদি,d̪ad̪i,ব্যাচমেট,bæcmet,রাইকা,,শুয়ে,ʃuʲe
ডেটল,detl,তাকলে,t̪akle,ইন্টার,intar,দিলোঅইলে,,ছুচোয়,cʰucoʲ
রাশু,raʃu,বাফ,bapʰ,ইয়ার,iʲar,দিল,,টানে,tane
বিয়ার,biʲar,আইলো,a͡i̯lo,খোন,kʰon,জারা,,হোল,hol
পর,pɔr,লাইজ্ঞাই,la͡i̯gga͡i̯,উন্নিশ,unniʃ,আশুলিয়া,,সেরা,ʃera
নাজমুল,naɟmul,ফোরটা,pʰorta,সালর,salor,যামু,,দা,d̪a
একবার,ækbar,কিচ্চু,kiccu,কলেজর,kɔleɟɔr,দাদু,,র,ro
গেসনু,gegonu,বিছান,bicʰan,আছিলো,acʰilo,পাঁচশো,,জীবনের,ɟibɔner
আব্দুল্লাহ,abd̪ullah,ঠান্ডা,tʰanda,বিশেষ,biʃeʃ,ফরতেকবার,,নিজি,niɟi
হইতে।,ho͡i̯t̪e।,দেহুইন,d̪ehu͡i̯n,ফোয়ার,pʰoʷar,আইলে,,বানাইছেলো,bana͡i̯cʰelo
বোতল,bot̪ol,বাল্লাগবো,ballagbo,মইদ্দে,mo͡i̯d̪d̪e,খাড়া,,রচয়িতা,rocoʲit̪a
বোতোলটা,bot̪olta,সিমেন্টটা,ʃimentta,গ্রামর,gramɔr,উল্টা-ফাল্টা,,চক্রবর্তী,cokrobort̪i
নেওয়া।,ne͡o̯ʷa।,বারায়া,baraʲa,ইতেও,it̪e͡o̯,আল্লাহু,,সুইজগেট,ʃu͡i̯ɟget
চলো,cɔlo,দিত,d̪it̪o,লাইগদু,la͡i̯gd̪u,আকবার,,এলাকার,elakar
বাড়ি।,baɽi।,ডেউটিনের,de͡u̯tiner,মাইয়াফোয়াও,ma͡i̯ʲapʰoʷa͡o̯,নুবা,,আদি,ad̪i
গেইলাম,ge͡i̯lam,ফ্লোর,pʰlor,ইক্কের,ikker,ফালুদা,,ভাষাবিদগে,bʱaʃabid̪ɔge
বাড়ীত,baɽit̪o,টাইস,ta͡i̯ʃ,ধরোনা,d̪ʱɔrona,রান্দা,,বিরাট,birat
দেকা,d̪eka,বওয়ায়া,boʷaʲa,কিলো,kilo,শিখছছ,,হি,hi
ফুলি,pʰuli,দেলাম,d̪elam,ব্যবধান,bæbod̪ʱan,রানতারছ,,প্রাচীন,pracin
হাঁতে,hãt̪e,টাইলস,ta͡i̯lʃ,লাইন,la͡i̯n,পানি,,ভাষাবিদদের,bʱaʃabid̪ɔd̪er
মতো,mɔt̪o,বওয়াইতো,boʷa͡i̯t̪o,ভাজ,bʱaɟ,করতারি,,মিলন,milon
আগোত,agot̪,থইলে,t̪ʰo͡i̯le,দিততারস,d̪it̪ɔt̪aroʃ,গ্যাস,,মেলায়,melaʲ
আগত,agɔt̪o,গাতার,gat̪ar,লাইগগে,la͡i̯gge,সিদ্ধ,,কবিতার,kobit̪ar
বেলা,bela,দেকছুইন,d̪ekcʰu͡i̯n,লওনের,lɔ͡o̯ner,বানাইছিলি,,জন্ম,ɟɔnmo
গেসনো,geʃono,ডুইহাইন,du͡i̯ha͡i̯n,বয়ফ্রেন্ড,bɔʲopʰrend,বানাইছছ,,ওইছেলো,o͡i̯cʰelo
সোজা,ʃoɟa,বিত্রে,bit̪re,তইয়েরে,t̪o͡i̯ʲere,বিশ্বাস,,ভাষাবিদ,bʱaʃabid̪
হও।এলা,ho।ela,সন্দুক,ʃɔnd̪uk,জানাইলাম,ɟana͡i̯lam,জাস্ট,,কবি,kobi
বাও,ba͡o̯,ডুহাইছুইন,duha͡i̯cʰu͡i̯n,গুলির,gulir,কইতাম,,কবিরা,kobira
ঘরত,gʱɔrt̪o,ডেউটিন,de͡u̯tin,বারুদ,barud̪,বানাইছি,,আপোষে,apoʃe
চকিত,cokit̪o,বালামতো,balamɔt̪o,গুল্লি,gulli,গুড়া,,হুগা,huga
বিছনাত,bicʰonat̪,যাতে,ɟat̪e,দিওম,d̪i͡o̯m,দুধের,,কবিগেই,kobige͡i̯
করছে,korcʰe,বওন,bɔ͡o̯n,মারিবার,maribar,কফি,,মার,mar
কাইলকার,ka͡i̯lkar,চওন,cɔ͡o̯n,সময়ত,ʃɔmoʲt̪,ঢাইলা,,গায়া,gaʲa
ভাংছে,bʱaŋcʰe,খাইল্লা,kʰa͡i̯lla,গুল্লির,gullir,ব্লেন্ড,,মাদারচোদ,mad̪arcod̪
বায়রোত,baʲrot̪,ফাক্কাত,pʰakkat̪o,মাইরতে,ma͡i̯rt̪e,বানা,,আকরাম,akram
রান্ধিসু,rand̪ʱiʃu,মাইন,ma͡i̯n,লাইগগি,la͡i̯gogi,নরমাল,,সাহেবের,ʃaheber
লবন,lɔbon,গাছো,gacʰo,খইয়্যুস,kʰo͡i̯ʲuʃ,কোল্ড,,দ্যায়,d̪æʲ
দুপুর,d̪upur,ফক্কির,pʰokkir,সাই,sa͡i̯,জেলি-টেলি,,ছাররে,cʰarre
আগোতে।,agot̪e।,ছাও,cʰa͡o̯,কিরিত্তারি,kirit̪t̪ari,সিম্পল,,কনে,kone
থাকি।,t̪ʰaki।,দেইক্কাইছস,d̪e͡i̯kka͡i̯cʰɔʃ,মেয়েফোয়া,meʲepʰoʷa,জেলি,,ফোনে,pʰone
বয়লারের,bɔʲlarer,ডুফি,dupʰi,আঁরো,ãro,জা,,ঢুকতিছে,dʱukt̪icʰe
পটল,pɔtlo,ডুফির,dupʰir,ইয়েও,iʲe͡o̯,আনছিলি,,চাকরি-বাকরি,cakri-bakori
আনসে,anoʃe,দেইক্কাইছি,d̪e͡i̯kka͡i̯cʰi,ফুরান,pʰuran,কাপের,,রেস্ট্রি,restri
খাওয়াটা,kʰa͡o̯ʷata,ফারতো,pʰart̪o,বান্ধবী,band̪ʱobi,ওইদে,,অফিসি,ɔpʰisi
ওইটা,o͡i̯ta,গেছিন,gecʰin,অইলেও,æ͡i̯le͡o̯,ফাস্টের,,করে৷,kore
খুলবার,kʰulbar,কেউরে,ke͡u̯re,তুঁই,t̪ũi,পুডিংডি,,ভাইরে,bʱa͡i̯re
চামটিরহাট,camtirhat,দেকছস,d̪ekcʰɔʃ,ভরি,bʱori,বাচ্চারা,,কামাইছে,kama͡i̯cʰe
রমজানের,rɔmoɟaner,ফারতে,pʰart̪e,ফালাও,pʰala͡o̯,খায়,,রাখতি,rakʰt̪i
দিনে,d̪ine,রে,re,ওবাজি,obaɟi,ম্যাংগু,,পারিনি,parini
হোটেল,hotel,নুছফা,nucʰɔpʰa,যাইদে,ɟa͡i̯d̪e,পুডিং,,কোনোদিন,konod̪in
দাদা,d̪ad̪a,লাম,lam,হেহেহেহে,hehehehe,ট্রাই,,গাঁজা,gãɟa
হইসলো,ho͡i̯ʃlo,নাস্তা,nast̪a,ডরাইর,dɔra͡i̯r,খুশি,,দারে,d̪are
মানুষটা,manuʃta,কাইছস,ka͡i̯cʰɔʃ,মিথ্যা,mit̪t̪ʰa,কেত্তাম,,টাহাও,taha͡o̯
রাজি,raɟi,ফুনি,pʰuni,বাস্তব,bast̪ob,নার্সারি,,সেভিং,ʃebʱiŋ
রোজ-রমজান,roɟo-rmɟan,ইলিশ,iliʃ,খইয়্যিল,kʰo͡i̯kil,রিদমস,,বিশ্বাস,biʃʃaʃ
কটা,kɔta,সিলবার,silbar,অমুক,ɔmuk,এসে,,করবিনি,korbini
থাকোঙ,t̪ʰakoŋ,সিলবারের,silbarer,সা,ʃa,প্রথম,,জানিনা,ɟanina
নি,ni,মাছরে,macʰore,বাজি,baɟi,রান্দার,,দিনি,d̪ini
জানতি,ɟant̪i,দুফুরো,d̪upʰuro,একজনেরে,ækɟonere,ইতিহাস,,আট,at
করবান,korban,কাইবে,ka͡i̯be,রাজি,raɟi,ডিম,,নয়,nɔʲ
নইয়,no͡i̯ʲ,দুফুরে,d̪upʰure,গরাই,gɔra͡i̯,বাজতাম,,নিয়াইছে,niʲa͡i̯cʰe
আইনবে,a͡i̯nbe,ফুদা,pʰud̪a,ইয়ারত,iʲart̪o,গেছিলাম,,টাকা,taka
ধর,d̪ʱɔr,কাইবাম,ka͡i̯bam,হাইটটি,ha͡i̯tti,মুরা,,চোদন,cod̪on
অ্যাঁহ,æ̃ho,তুলন,t̪ulon,চইল্লি,co͡i̯lli,ফুড়াই,,কিরকম,kirɔkom
দি,d̪i,গ্লাস,glas,ফিরজি,pʰirɟi,লাইছিলাম,,দলিল,d̪olil
সইন্ধার,ʃo͡i̯nd̪ʱar,লাগায়া,lagaʲa,মাইয়াফোয়ার,ma͡i̯ʲapʰoʷar,পুড়ছিলি,,যেরকম,ɟerɔkom
সময়ে,ʃɔmɔʲe,অইহে,ɔ͡i̯he,ফ্যামিলি,pʰæmili,টাইম,,ওলি,oli
মিলে,mile,বেডারে,bedare,ফ্যামিলিত,pʰæmilit̪o,রান্না,,কাজও,kaɟo
পেলেট,pelet,শরম,ʃɔrom,ওবা,oba,চুলাত,,বেশি৷,beʃi
হই,ho͡i̯,দেউ,d̪e͡u̯,টটনা,tɔtona,ফ্রাইপেনডা,,থাকা,t̪ʰaka
ওইরকম,o͡i̯rɔkom,উডাইবাইন,uda͡i̯ba͡i̯n,মানি,mani,ছাড়ছি,,তায়,t̪aʲ
লাগেইনা,lage͡i̯na,বাল্লাগে,ballage,লয়দে,lɔʲd̪e,শুনা,,শিয়ের,ʃiʲer
মতিনুয়ায়,mot̪inuʲaʲ,মুন্নার,munnar,গর,gɔr,হুনিছ,,ফোতমে,pʰot̪me
মাল,mal,সিঙ্গেল,ʃiŋgel,আলগাইর,alga͡i̯r,কোকো,,কলেজে,kɔleɟe
দিলাম,d̪ilam,তুলবাম,t̪ulbam,ফারতিনি,pʰart̪ini,মেলেন,,বাইশশো,ba͡i̯ʃʃo
পারমেট,parmet,তুইল্লা,t̪u͡i̯lla,ওডো,odo,এডায়ই,,টাহার,tahar
দেয়না,d̪eʲona,অসাদারন,ɔʃad̪aron,ভালোবাসা,bʱalobaʃa,মরে,,ক্লিয়ার,kliʲar
খাওয়াইবে,kʰa͡o̯ʷa͡i̯be,ছবিডিই,cʰobidi͡i̯,কে,ke,মেন,,ফরিমান,pʰoriman
খিলায়না,kʰilaʲna,ছাইছিলাম,cʰa͡i̯cʰilam,ফইশা,pʰo͡i̯ʃa,আতের,,দাম,d̪am
দিবেই,d̪ibe͡i̯,নিছেরতে,nicʰert̪e,মনর,monor,মদ্যে,,বাড়িছে,baɽicʰe
আশেপাশে,aʃepaʃe,তুল্লে,t̪ulle,মিলন,milon,ছিট্টা,,কিছুর,kicʰur
উপায়,upaʲ,উফরে,upʰɔre,শিকখুস,ʃikkʰuʃ,ফুইড়া,,ল্যাহে-ট্যাহে,læhe-tæhe
আছিলো,acʰilo,ফেটটা,pʰetta,হেহেহে,hehehe,মইরা,,সিস্টেম,ʃistem
সাগলের,ʃagoler,আনোয়ার,anoʷar,সম্পর্ক,ʃɔmporko,গেলেগাও,,ল্যাহে,læhe
ঘাস,gʱaʃ,তালগাছ,t̪algacʰ,প্রকারের,prokarer,টের,,পারবো,parbo
কিছছু,kicʰcʰu,যাইয়াম,ɟa͡i̯ʲam,বাঁধন,bãd̪ʱon,বুজ্জছ,,ফতমে,pʰot̪ɔme
আটবার,atbar,অহনেই,ɔhone͡i̯,বাঁধি,bãd̪ʱi,ফু,,সহকারী,ʃɔhokari
খাইবেই,kʰa͡i̯be͡i̯,যাইতে,ɟa͡i̯t̪e,বাঁধন-টাধন,bãd̪ʱon-tad̪ʱɔn,ফোডা,,সহকারীত্তেই,ʃɔhokarit̪t̪e͡i̯
আব্দুল্যার,abd̪ulær,সন্দার,ʃɔnd̪ar,সিরিয়াস,siriʲas,ফড়ছিন,,আট-নয়,at-nɔʲ
উয়ার,uʲar,আজান,aɟan,কলেজত,kɔleɟɔt̪,এলিগা,,মারে,mare
মায়ের,maʲer,দেলাইলে,d̪ela͡i̯le,দেখেদেও,d̪ekʰed̪e͡o̯,উডাইয়াম,,দ্যাহে,d̪æhe
খরচ,kʰɔroc,গারিডা,garida,ভরে,bʱɔre,গরমে,,মা,ma
থাকঙ,t̪ʰakŋ,লইয়াও,lɔ͡i̯ʲa͡o̯,মেয়েফোয়ার,meʲepʰoʷar,মুরার,,কিহ,kih
মায়,maʲ,গাড়িডা,gaɽida,ঘরত,gʱɔrt̪o,উফরে,,ভাইয়ের,bʱa͡i̯ʲer
ঠাছ,tʰacʰ,ছাবি,cʰabi,অবুক,ɔbuk,ফড়ছি,,তালাক,t̪alak
কল্যাণের,kɔlæner,ছশমাডা,cʰɔʃmada,গরিত্যারে,gorit̪t̪are,কড়াই,,পালটা,palta
দেঙ,d̪eŋ,আমারটে,amarte,ব্রাদার,brad̪ar,ফ্রাইপেন,,ছ্যাছিছ,cʰæcʰi͡i̯
ভ্যালো,bʱælo,হেয়ানো,heʲano,থাইত্যারে,t̪ʰa͡i̯t̪t̪are,ছুডুডা,,কেছ,kecʰo
আব্দুল্যে,abd̪ulle,দুইজনে,d̪u͡i̯ɟɔne,ইয়্যুত,iʲd̪ʱut̪o,সুন্দরডা,,শালার,ʃalar
গেল,gælo,গাইরালতাম,ga͡i̯ralt̪am,হনো,hono,এদ্দুর,,কফাল,kɔpʰal
খেলা,kʰela,সাইহেলো,sa͡i̯helo,তুয়ারতু,t̪uʷart̪u,আছিন,,আজিম,aɟim
খেলায়,kʰelaʲ,গাড়ি,gaɽi,যন,ɟɔn,ক্লাসে,,বুড়োর,buɽor
নেকি,neki,দোওরাও,d̪o͡o̯ra͡o̯,ফরিবো,pʰoribo,থাকতে,,দ্যাখা,d̪ækʰa
সকাল,ʃɔkal,সাইহেল,sa͡i̯hel,হাম,ham,পড়ি,,প্যাটার্নে,pætarne
মোবাইল,moba͡i̯l,দৌড়াইবো,d̪o͡u̯ɽa͡i̯bo,কুহাম,kuham,ফড়লে,,বানায়,banaʲ
পাইছে,pa͡i̯cʰe,হ্যানদা,hænd̪a,ন-গইরলেও,nɔ-go͡i̯rle͡o̯,আছছ,,ফেলিছে,pʰelicʰe
আব্বুর,abbur,যাইন,ɟa͡i̯n,রিস্কত,riskɔt̪,আট,,প্যাটার্ন,pætarno
কাটুন,katun,গাড়ি,gaɽi,চেষ্টা,ceʃta,আচ্ছা,,ভাবিকে,bʱabike
দেকপের,d̪ekper,চালাইতুইন,cala͡i̯t̪u͡i̯n,কিস-টিস,kiʃ-tiʃ,ফড়তাম,,পিটেইছি,pite͡i̯cʰi
অঅ,ɔ͡o̯,আয়ুইন,aʲu͡i̯n,অইন্য,ɔ͡i̯nno,দাদুরে,,পিটেস,pites
কাড়ি,kaɽi,চালাইতারি,cala͡i̯t̪ari,কিসু,kiʃu,আইছি,,তোরও,t̪oro
নিয়ে,niʲe,লাইছেন,la͡i̯cʰen,এনতেন,ent̪en,এমনে,,পিটান,pitan
থুইয়ে,t̪ʰu͡i̯ʲe,দো,d̪o,গরনর,gɔronɔr,গইল্লা,,কিচের,kicer
পড়া,pɔɽa,ঘুরতো,gʱurt̪o,ফর,pʰɔr,লাইগ্গা,,বারোয়,baroʲ
পড়ানু,pɔɽanu,রিস্ক,riʃko,ন-হয়,nɔ-hoʲ,গরমরে,,বাইরোলিই,ba͡i̯roli͡i̯
পড়ি,poɽi,ছালায়নি,cʰalaʲni,এগদিন,egod̪in,দুইডার,,কিচেরের,kicerer
থুয়্যা,t̪ʰukɟa,ভরতিই,bʱɔrot̪i͡i̯,দেহিরদে,d̪ehird̪e,অর্ধেক,,হাসি,haʃi
গেনুং,genuŋ,অইতাম,ɔ͡i̯t̪am,সাত,ʃat̪,এডাত,,শাইয়ো,ʃa͡i̯ʲo
দেখোং,d̪ækʰoŋ,ট্যাহা,tæha,টানা,tana,লাগা,,হাসিছিলাম,haʃicʰilam
দেকপারে,d̪ekpare,দিয়াম,d̪iʲam,গিয়ে,giʲe,মুরাত,,খিলখিলেইয়ে,kʰilkʰile͡i̯ʲe
হইচে,ho͡i̯ce,ক্যারে,kære,আরেকদিন,arekd̪in,ফাঁক,,বাজে,baɟe
কার্টুন,kartun,করতি,kort̪i,রাতিয়া,rat̪iʲa,লাল,,অইলো,ɔ͡i̯lo
দেকিয়া,d̪ekiʲa,কদ্দুরি,kɔd̪d̪uri,ফিছে,pʰicʰe,ধরাডাতোই,,তাফর,t̪apʰɔr
ফাইজলামি,pʰa͡i̯ɟlami,দরলে,d̪ɔrle,উড়িবার,uɽibar,দাদ,,য্যান্নে,ɟænne
বেড়াইলে,beɽa͡i̯le,গুনাহ,gunaho,ফুয়া,pʰuʲa,বেতের,,ফড়তি,pʰoɽt̪i
অবস্তা,ɔbost̪a,লাইগ্যা,la͡i̯gka,হাইয়ে,ha͡i̯ʲe,ইয়ারফোন,,পড়তি,poɽt̪i
আছিস,acʰiʃ,ফালাইয়া,pʰala͡i̯ʲa,ধইরগেদে,d̪ʱo͡i̯rged̪e,ইয়ারফোনবে,,ফড়া,pʰɔɽa
আছঙ,acʰoŋ,থুইয়া,t̪ʰu͡i̯ʲa,হনে,hone,গো,,চিদরে-চিদরি,cid̪ɔre-cid̪ori
কোনোরকম,konorɔkom,মেলেরতে,melert̪e,দইরজেদে,d̪o͡i̯rɟed̪e,মাটির,,খুচাখুচি,kʰucakʰuci
এহনা,ehona,দুরে,d̪ure,মেফুয়ার,mepʰuʲar,ঘরো,,রামের,ramer
করিম,korim,গেরাইম্মা,gera͡i̯mma,চঅতো,cɔ͡o̯t̪o,টয়লেটের,,সোনালী,ʃonali
ক,k,এরলাইগ্যা,erla͡i̯gka,বাইয়ে,ba͡i̯ʲe,দেখি,,স্মৃতি,srit̪i
সারাদিনে,ʃarad̪ine,ফেরা,pʰera,বাজিরে,baɟire,প্রকেশনাল,,মাইয়েডারে,ma͡i̯ʲedare
মোবাইলোতও,moba͡i̯lot̪o,স্টার,star,খেলা,kʰela,কে-পপ,,নি,ni
একেবারে,ækebare,দিতারেন,d̪it̪aren,প্লান্টিক,plantik,সিঙ্গার,,চাইয়ে,ca͡i̯ʲe
এও,e͡o̯,সুবিধার,ʃubid̪ʱar,এদিন্যা,ed̪inna,অইতি,,হোপ,hop
ভিআইপি,bʱi͡a̯͡i̯pi,দেইখ্যালইন,d̪e͡i̯kʰkʰalin,ওরশ,oroʃ,চাছ,,বড়ডা,bɔɽoda
যেন,ɟeno,ব্যাস্ত,bæst̪o,ওরশত,orʃɔt̪,কিমেত,,বড্ডারই,bɔddari
সেটাই,ʃeta͡i̯,মাইজখানো,ma͡i̯ɟkʰano,ওরশে,orʃe,সুনো,,এহনো,ehono
মাইনসে,ma͡i̯nʃe,টিপ,tip,যওনের,ɟɔ͡o̯ner,ওপেনিং,,চেয়ে,ceʲe
ওইগলে,o͡i̯gole,অসুবিধা,ɔʃubid̪ʱa,চাচা,caca,চাস,,বুড়োই,buɽo͡i̯
নাড়াচাড়া,naɽacaɽa,উঠতো,utʰt̪o,আছস,acʰoʃ,প্রফেশনালি,,ফঁচিশ,pʰɔ̃ciʃ
কথাবার্তা,kɔt̪ʰabart̪a,এনতে,ent̪e,ফেলাইয়ে,pʰela͡i̯ʲe,ডেমন,,ছাব্বিশ,cʰabbiʃ
কইবে,ko͡i̯be,সর,ʃɔr,হদ্দে,hod̪d̪e,স্লেয়ার,,আপারে,apare
জানোম,ɟanom,মাইনসের,ma͡i̯nʃer,ইক্কা,ikka,প্রফেশন,,বারা,bara
জানিসে,ɟanise,কালাম,kalam,ন-আইস,nɔ-a͡i̯ʃ,হাসিরা,,হো,ho
যহন,ɟɔhon,খুচাইন,kʰuca͡i̯n,হইদদে,ho͡i̯d̪ɔd̪e,এঙ্গের,,দিদিরে,d̪id̪ire
শুনবের,ʃunber,মোশারফ,moʃarɔpʰ,হারে,hare,অইতাম,,দিচ্ছির,d̪iccʰir
চাইস,ca͡i̯ʃ,সরি,ʃori,দইজজেদে,d̪o͡i̯ɟɟed̪e,ইনশাআল্লাহ,,জমা,ɟɔma
হোউল,ho͡u̯l,তোরা,t̪ora,ওমুকরে,omukɔre,ছাতা-মাতা,,দুইশো,d̪u͡i̯ʃo
জাহিদ,ɟahid̪,কিলো,kilo,হস,hɔʃ,এমুনওই,,তিনশো,t̪inʃo
